Province,City/Municipality
Abra,Bangued
Abra,Boliney
Abra,Bucay
Abra,Bucloc
Abra,Daguioman
Abra,Danglas
Abra,Dolores
Abra,La Paz
Abra,Lacub
Abra,Lagangilang
Abra,Lagayan
Abra,Langiden
Abra,Licuan-Baay (Licuan)
Abra,Luba
Abra,Malibcong
Abra,Manabo
Abra,Peñarrubia
Abra,Pidigan
Abra,Pilar
Abra,Sallapadan
Abra,San Isidro
Abra,San Juan
Abra,San Quintin
Abra,Tayum
Abra,Tineg
Abra,Tubo
Abra,Villaviciosa
Agusan del Norte,Buenavista
Agusan del Norte,Butuan
Agusan del Norte,Cabadbaran
Agusan del Norte,Carmen
Agusan del Norte,Jabonga
Agusan del Norte,Kitcharao
Agusan del Norte,Las Nieves
Agusan del Norte,Magallanes
Agusan del Norte,Nasipit
Agusan del Norte,Remedios T. Romualdez
Agusan del Norte,Santiago
Agusan del Norte,Tubay
Agusan del Sur,Bayugan
Agusan del Sur,Bunawan
Agusan del Sur,Esperanza
Agusan del Sur,La Paz
Agusan del Sur,Loreto
Agusan del Sur,Prosperidad
Agusan del Sur,Rosario
Agusan del Sur,San Francisco
Agusan del Sur,San Luis
Agusan del Sur,Santa Josefa
Agusan del Sur,Sibagat
Agusan del Sur,Talacogon
Agusan del Sur,Trento
Agusan del Sur,Veruela
Aklan,Altavas
Aklan,Balete
Aklan,Banga
Aklan,Batan
Aklan,Buruanga
Aklan,Ibajay
Aklan,Kalibo
Aklan,Lezo
Aklan,Libacao
Aklan,Madalag
Aklan,Makato
Aklan,Malay
Aklan,Malinao
Aklan,Nabas
Aklan,New Washington
Aklan,Numancia
Aklan,Tangalan
Albay,Bacacay
Albay,Camalig
Albay,Daraga
Albay,Guinobatan
Albay,Jovellar
Albay,Legazpi
Albay,Libon
Albay,Ligao
Albay,Malilipot
Albay,Malinao
Albay,Manito
Albay,Oas
Albay,Pio Duran
Albay,Polangui
Albay,Rapu-Rapu
Albay,Santo Domingo
Albay,Tabaco
Albay,Tiwi
Antique,Anini-y
Antique,Barbaza
Antique,Belison
Antique,Bugasong
Antique,Caluya
Antique,Culasi
Antique,Hamtic
Antique,Laua-an
Antique,Libertad
Antique,Pandan
Antique,Patnongon
Antique,San Jose de Buenavista
Antique,San Remigio
Antique,Sebaste
Antique,Sibalom
Antique,Tibiao
Antique,Tobias Fornier
Antique,Valderrama
Apayao,Calanasan
Apayao,Conner
Apayao,Flora
Apayao,Kabugao
Apayao,Luna
Apayao,Pudtol
Apayao,Santa Marcela
Aurora,Baler
Aurora,Casiguran
Aurora,Dilasag
Aurora,Dinalungan
Aurora,Dingalan
Aurora,Dipaculao
Aurora,Maria Aurora
Aurora,San Luis
Basilan,Akbar
Basilan,Al-Barka
Basilan,Hadji Mohammad Ajul
Basilan,Hadji Muhtamad
Basilan,Isabela
Basilan,Lamitan
Basilan,Lantawan
Basilan,Maluso
Basilan,Sumisip
Basilan,Tabuan-Lasa
Basilan,Tipo-Tipo
Basilan,Tuburan
Basilan,Ungkaya Pukan
Bataan,Abucay
Bataan,Bagac
Bataan,Balanga
Bataan,Dinalupihan
Bataan,Hermosa
